mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
76.82902617454529,1.1955754399803795,3.5180146217346193,0.6406378109570683,500,2,2,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-0.0010209768290130466,-0.003168076812839384,-0.0009844109526732348,-0.003076389055360435,-0.0015369479954976926,-0.001957360329076759,0.0009714165710717078,1
79.40841956138611,1.7770790352132213,3.5907116413116453,0.6924405204002743,500,2,2,log2,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-0.0010085587359739585,-0.0032115826142981776,-0.0010163398302806587,-0.003049612238294471,-0.0015901182319121797,-0.0019752423301518892,0.0009679979074649109,2
16.770791673660277,0.317357099863678,1.112363624572754,0.169384583736637,100,2,2,log2,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-0.0010888510603563196,-0.0028703892893783946,-0.0013387075296647823,-0.002905716006632453,-0.0017211306948087235,-0.0019849589161681346,0.0007644653085175809,3
31.405717611312866,2.1368501619326725,1.8244616985321045,0.19218665328243023,200,5,2,log2,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-0.0011592979008874103,-0.003101794462672112,-0.0010656671646034172,-0.003369213323529607,-0.0015867936611548515,-0.0020565533025694795,0.0009821610996534824,4
37.2552574634552,1.5136131656489638,2.1887351512908935,0.1257303269561546,200,10,2,log2,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-0.0011528532251626222,-0.0030879654286780967,-0.0011289693918311492,-0.0033576015928378725,-0.0018706055403725074,-0.0021195990357764497,0.0009432206652473237,5
76.81972398757935,2.4240304827031753,3.7218801021575927,0.23886165766261896,500,5,4,log2,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}",-0.001443545786212056,-0.0037091631400735037,-0.0013312531709583548,-0.0038401579167596078,-0.0019788648432110634,-0.0024605969714429172,0.0010958085832603382,6
73.38030319213867,1.7729789397310167,2.656168746948242,0.137752077166277,500,10,4,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}",-0.0014336469575458777,-0.0036705617029093155,-0.0013658469700431018,-0.003882675700005304,-0.0019794861166247068,-0.002466443489425661,0.0010927692532270012,7
16.733851432800293,0.1594755145885584,1.0348697185516358,0.15753121727561978,100,10,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-0.001337643452397301,-0.003395252677111115,-0.0015146425071180677,-0.003991357923856288,-0.002164498283378335,-0.0024806789687722213,0.0010448275298894597,8
15.206313419342042,0.4658093575604983,0.9842400550842285,0.10572272625306009,100,5,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-0.001327631878627469,-0.0033379717007389026,-0.001637352328413289,-0.003828003290571908,-0.002418493029608397,-0.0025098904455919933,0.0009581807355573344,9
30.91450877189636,1.0728273412415996,1.8366429328918457,0.21698228204952552,200,10,4,log2,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-0.0015901662590956677,-0.003678175215400847,-0.0014755182029490116,-0.004300992672096007,-0.002302434021117602,-0.002669457274131827,0.0011317672295075483,10
57.08962721824646,2.2335596272631575,1.1150604248046876,0.10930977017891243,100,5,1,1.0,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-0.0024122236912722203,-0.003601171462037626,-0.0016239433523327644,-0.003730323266422606,-0.00376716290428612,-0.0030269649352702675,0.0008624030925245517,11
103.3894271850586,1.676662699288279,1.0996755599975585,0.11751940219620012,200,10,1,1.0,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-0.002315864712168508,-0.003835766669946652,-0.0017324262478187638,-0.004106702538566199,-0.0038529435729419185,-0.003168740748288408,0.0009574159266166347,12
238.43702001571654,1.734662038058234,2.631052112579346,0.19424093994149969,500,5,1,1.0,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 20}",-0.0024078712541412994,-0.004036242321923992,-0.0016182838971028287,-0.004441037839197258,-0.0036700950674350345,-0.0032347060759600824,0.0010567626728230075,13
263.52978253364563,1.913832444327881,2.530348205566406,0.26941480262848316,500,10,1,1.0,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-0.0024281810965633096,-0.004037238578811797,-0.0016390288326452584,-0.004450621815790483,-0.0036479940627298776,-0.0032406128773081453,0.0010478368594606616,14
49.198258829116824,0.9172237318357569,0.8438351631164551,0.16407259508375063,100,2,2,1.0,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None}",-0.0025843183673065592,-0.005730076015220137,-0.0019211861087485484,-0.007637978204369047,-0.003918016072215015,-0.0043583149535718615,0.002093726030222618,15
52.156618309021,1.598036372366151,1.2801119804382324,0.13124179753718607,100,5,2,1.0,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None}",-0.0025845792226787787,-0.005778438236118668,-0.00194009012973255,-0.007641554052084033,-0.003950666059976135,-0.0043790655401180325,0.00209544188865021,16
113.91079149246215,2.7565070787939865,1.4386980056762695,0.2032325036703105,200,2,2,1.0,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 20}",-0.0024404835935944737,-0.006111185901753845,-0.0020240794197686537,-0.007814522652088816,-0.003968597143381606,-0.004471773742117479,0.002201462075845906,17
81.86730794906616,2.6207023047245044,1.4596174716949464,0.21750149746221484,200,10,1,1.0,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-0.005451995387255481,-0.005620066399392107,-0.004733201253633669,-0.006325698896979454,-0.006148025786511873,-0.005655797544754516,0.0005630368396892787,18
87.59270944595337,1.612706773225367,1.672954273223877,0.36982285885569893,200,5,1,1.0,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-0.0054505466300043765,-0.0056227454215501335,-0.004735088440028972,-0.0063287215510052924,-0.0061457675508798364,-0.005656573918693722,0.000562817900867976,19
216.37647218704222,2.804022418746936,2.4410580158233643,0.35630767837613186,500,2,1,1.0,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 10}",-0.0055617180605076425,-0.0056948636414156815,-0.004618162159940839,-0.006446185616891936,-0.006024756488717934,-0.005669137193494806,0.0006077859124473127,20
343.43945088386533,10.989301433310462,0.7631742000579834,0.37704849321424816,500,5,4,1.0,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0029028939020269663,-0.00797738927310704,-0.0025390679181033025,-0.010369993071411102,-0.005199848592349399,-0.005797838551399562,0.0030004306643496193,21
245.45560750961303,1.6909710808852232,2.531096267700195,0.33088660311779017,500,10,4,1.0,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0029085966759991306,-0.00798743914875585,-0.002530691984663836,-0.010366896900597614,-0.005221514870755676,-0.005803027916154422,0.0030008207082316,22
51.73723258972168,0.9476155385055198,1.0161323547363281,0.2393228716174872,100,2,4,1.0,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.0028848357588189166,-0.007948569919752043,-0.0024779721671443536,-0.01028529586404273,-0.005494499479354423,-0.005818234637822493,0.0029785886329408667,23
57.52990713119507,0.8828073271891729,0.9234185695648194,0.08871269470708153,100,5,4,1.0,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': None}",-0.002884835758818921,-0.007948569919752044,-0.002477972167144356,-0.010285295864042731,-0.005494499479354423,-0.005818234637822496,0.0029785886329408667,24
60.63530979156494,4.542979717444743,1.3028694629669189,0.6667679456284291,100,2,4,1.0,20,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 20}",-0.002890229924509118,-0.007959772322913373,-0.0025035540699226448,-0.010287992657984926,-0.005543215214674938,-0.005836952838001,0.0029731842563785987,25
97.16628251075744,2.020063722495352,1.7501734733581542,0.3810632970065229,200,5,4,1.0,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 20}",-0.00278577048540405,-0.008138454737678333,-0.0026652754038854224,-0.010337954987664386,-0.005641369643470712,-0.005913765051620581,0.0029977970260024875,26
384.2087740421295,6.515145718709357,2.2405624866485594,0.6680655842197714,500,10,4,1.0,10,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 10}",-0.0057356007096975616,-0.008951915262462752,-0.004875066492160678,-0.011355507889917845,-0.0070181331021954745,-0.007587244691286863,0.002331116355791769,27
21.71964297294617,1.3714145545888787,1.0836894989013672,0.2282887115948562,200,2,2,log2,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10}",-0.007980612487281352,-0.008044650472898568,-0.007677779150307705,-0.007990293894571001,-0.006899651418035053,-0.007718597484618736,0.00042921326828425545,28
248.6948272228241,1.122439971793522,2.1697762966156007,0.40958512901224386,500,2,2,sqrt,10,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.0077603059138856975,-0.008218777155065337,-0.007598877294398614,-0.008199637464163105,-0.0073487362381492675,-0.007825266813132403,0.0003398697677283289,29
66.78916878700257,0.919658729192317,2.4608065128326415,0.4616288418274702,500,10,2,sqrt,10,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.00751823293567779,-0.008149247034138435,-0.00767220473299549,-0.00830817813089626,-0.00767779409369302,-0.007865131385480199,0.00030648543490504704,30
25.95640711784363,0.8032190882867717,1.372127389907837,0.19690076721444563,200,10,2,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-0.0077825908499959155,-0.008085589539241675,-0.007651628617482186,-0.008473165680871236,-0.0076764922966581165,-0.007933893396849825,0.0003106919724312428,31
