Nivel_agua,Nivel_total
0.4946196660482374,0.4946196660482374
0.7087198515769945,0.7087198515769945
0.4753246753246753,0.4753246753246753
0.2530612244897959,0.4760667903525046
0.3038961038961039,0.6608534322820038
0.4831168831168831,0.7020408163265306
0.785899814471243,0.785899814471243
0.7777365491651206,0.7777365491651206
0.7012987012987013,0.7012987012987013
0.798886827458256,0.92430426716141
0.02782931354359925,0.02782931354359925
0.26567717996289425,0.47643784786641924
0.5202226345083488,0.8842300556586271
0.8883116883116883,0.8883116883116883
0.5202226345083488,0.8842300556586271
0.0549165120593692,0.0549165120593692
0.26567717996289425,0.47643784786641924
0.6597402597402597,0.6597402597402597
0.486456400742115,0.6504638218923934
0.5202226345083488,0.8842300556586271
0.5202226345083488,0.8842300556586271
0.4831168831168831,0.7020408163265306
0.3706864564007421,0.5836734693877551
0.14211502782931354,0.3862708719851577
0.02782931354359925,0.02782931354359925
0.41669758812615953,0.6794063079777366
0.09536178107606677,0.4371057513914656
0.9209647495361781,0.9209647495361781
0.2530612244897959,0.4760667903525046
0.036734693877551024,0.036734693877551024
0.5202226345083488,0.8842300556586271
0.7706864564007422,0.7706864564007422
0.26567717996289425,0.47643784786641924
0.0549165120593692,0.0549165120593692
0.2530612244897959,0.4760667903525046
0.5543599257884972,0.5543599257884972
1.0,1.0
0.979591836734694,0.979591836734694
0.05528756957328385,0.05528756957328385
0.5747680890538034,0.7955473098330241
0.14211502782931354,0.3862708719851577
0.09536178107606677,0.4371057513914656
0.02782931354359925,0.02782931354359925
0.16734693877551018,0.4048237476808905
0.6571428571428571,0.7714285714285715
0.2530612244897959,0.4760667903525046
0.5202226345083488,0.8842300556586271
0.4753246753246753,0.4753246753246753
0.872356215213358,0.872356215213358
0.5202226345083488,0.8842300556586271
0.04601113172541744,0.04601113172541744
0.5543599257884972,0.5543599257884972
0.036734693877551024,0.036734693877551024
0.3602968460111317,0.7083487940630798
0.09536178107606677,0.4371057513914656
0.48089053803339515,0.7588126159554731
0.4419294990723562,0.4419294990723562
0.486456400742115,0.6504638218923934
0.6341372912801484,0.9343228200371058
0.32541743970315395,0.32541743970315395
0.3602968460111317,0.7083487940630798
