S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,S4_2
0.41912767556368635,0.17792355334040622,0.22059090085258504,0.25888471540019964,0.29242677396268846,0.34449118956217717,0.5513200362463522,0.36583888552377175,0.653976137572954,0.6163063113917815,0.5145444631471037,0.9824146527681421
0.6047262504516766,0.49518085535237333,0.5107848468378506,0.2990754117308825,0.14024618951862067,0.1341686482537625,0.5440707820439457,0.3773983923456399,0.6750938252703236,0.6083888449811639,0.30829046253052184,0.9592033885710123
0.8022100370189946,0.6583354711028733,0.620192133405908,0.45079456804432994,0.11177413305176742,0.16904457045347954,0.23368663266046497,0.45756552269290296,0.6807700207255039,0.7208422716489622,0.2902017496028293,0.9576856075826043
0.4418960670245724,0.2557628174590718,0.24060177632782143,0.20286044495787792,0.1855286936952325,0.27111151759072527,0.4152234338253038,0.35047069572624423,0.3312172078344702,0.27568589815928135,0.42122045470705416,0.9552938530527655
0.5507556990560261,0.33701029794428905,0.355410549212138,0.9687373591441428,0.19834964367328212,0.790927382476184,0.4296201268621189,0.3977455881899914,0.8975670780664586,0.9513520379359761,0.6585192385196024,0.951563189470761
0.28382553511255537,0.06508593835860665,0.006706543412292376,0.010228257729067991,0.017731101033859886,0.04380830437185068,0.415732510665066,0.33435308852358503,0.640233769628594,0.5700011290500697,0.3910409900192917,0.9560126288847925
0.5357252205858458,0.24176347711363633,0.44556824361097824,0.4132909563713838,0.2789238585601197,0.33714407658044365,0.5307024242240459,0.38684310484654816,0.6454991877812972,0.5524020548714361,0.38582537161278196,0.9619134299285577
0.4791104183477728,0.2078279033967192,0.41895957948236173,0.37096214966823027,0.2739455109631308,0.32208401926709485,0.5412199517395493,0.37634099518504627,0.44560001493709933,0.37361691317573786,0.36573338707012226,0.9476839043534966
0.6655996882564068,0.5312419833617241,0.44306688417691475,0.27194452470394026,0.12957343062771542,0.12023657094050577,0.49326491340616485,0.372080608567785,0.411337453554097,0.2601332279550661,0.28423934946999907,0.9446917451259225
0.46126868371993623,0.26287243009483063,0.20369766177282145,0.17931233747549413,0.15125993112178548,0.13529662825476407,0.5856216337294882,0.32510342986779506,0.2893926097426629,0.2770689849835435,0.30117825561274003,0.9559764599271006
0.5775043838893907,0.4982958918171789,0.3585281856094298,0.2038428199948612,0.08926927404809248,0.07398939089125633,0.21147051936031858,0.07111252553659142,0.696472916705261,0.10953200858057244,0.050935255209651586,0.9394926218614472
0.46341191861210973,0.3777989518812319,0.2138481058545949,0.15405952037053794,0.010024891738794395,0.04917383086376503,0.4398118451999835,0.35750290014266284,0.5095879156788214,0.5912555041209089,0.42382826391030903,0.9555766285402143
0.9893394939736027,0.3210686407446701,0.8714881276064261,0.4722334585376302,0.1425989702320294,0.1444728979940919,0.7244468880132899,0.7478467082096358,0.3307317437497659,0.4179885965900212,0.23508214598996346,0.9424045517646817
0.6598658390621495,0.4160222816726673,0.453326083016691,0.32955793123437616,0.2593173526101964,0.2799524419242516,0.6584908926154185,0.3745855105789815,0.29687995966924063,0.24556847691064831,0.3167421350844961,0.9514467911887152
0.9792913407736705,0.2881958441748793,0.8527098060540084,0.45267263796631596,0.14372421318239503,0.1455703920491942,0.7176354398934564,0.7343263969446525,0.3500942920622947,0.4285875578634659,0.2440553803844523,0.9424045517646817
0.42792328889117925,0.09916810202685156,0.22276599601264024,0.2036405663102414,0.10747775087838818,0.11145661849877797,0.36783856155261674,0.2401523473188263,0.3616520716245759,0.3117872868915583,0.13165880372685024,0.9568734500779641
0.4862081442915951,0.40949902884131006,0.2377379010340519,0.1664547818554638,0.010502267535230203,0.05496616060008819,0.44204160175945617,0.361085731297635,0.5403028549021656,0.5964773625378257,0.42259548137781167,0.9555753133053742
0.579397110807804,0.42723641294378467,0.3812579300347352,0.2971106616587349,0.09312237869562523,0.1325528931165536,0.05768858751571315,0.37636152716891047,0.5833597849018588,0.6304900079030631,0.2395272753133213,0.9517821760691731
