,importance
S4_1,0.27915719654112287
S2_2,0.2750564257620526
S2_1,0.14425834885580696
S3_1,0.07262505162434162
S3_2,0.05821429070301028
S1_5,0.044222913934766996
S1_6,0.0349026666660227
S1_4,0.029652578700669358
S4_2,0.027645659419583846
S1_3,0.01783155323082018
S1_2,0.01643331456180271
