mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
88.29745349884033,0.9216005304759147,3.9125359058380127,0.8911825576049692,500,2,2,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-0.0010209768290130447,-0.0031680768128393827,-0.0009844109526732359,-0.003076389055360436,-0.0015369479954976933,-0.0019573603290767585,0.0009714165710717078,1
84.73374443054199,0.9536180452757346,3.797871541976929,0.5252080531838663,500,2,2,log2,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-0.0010085587359739596,-0.0032115826142981776,-0.001016339830280659,-0.0030496122382944737,-0.0015901182319121787,-0.0019752423301518897,0.0009679979074649113,2
18.58592939376831,0.5436160973868095,1.0371620655059814,0.03652942523329455,100,2,2,log2,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-0.0010888510603563203,-0.0028703892893783955,-0.0013387075296647842,-0.0029057160066324524,-0.0017211306948087235,-0.0019849589161681355,0.0007644653085175806,3
31.50732536315918,1.3327636640939728,2.0105850219726564,0.11773757222586763,200,5,2,log2,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",-0.0011592979008874114,-0.003101794462672112,-0.0010656671646034157,-0.003369213323529604,-0.001586793661154848,-0.002056553302569478,0.000982161099653482,4
35.93479137420654,1.0515381949900464,2.15631046295166,0.287660801294949,200,10,2,log2,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",-0.0011528532251626224,-0.003087965428678095,-0.001128969391831149,-0.0033576015928378717,-0.0018706055403725074,-0.002119599035776449,0.0009432206652473233,5
77.90459995269775,1.1105120130685335,4.135059642791748,0.21241193268648814,500,5,4,log2,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None}",-0.0014435457862120567,-0.0037091631400735015,-0.0013312531709583542,-0.003840157916759607,-0.0019788648432110655,-0.0024605969714429172,0.0010958085832603374,6
86.7012110710144,1.9897104843443814,3.3348838806152346,0.551124988316752,500,10,4,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}",-0.0014336469575458785,-0.0036705617029093147,-0.0013658469700431025,-0.003882675700005304,-0.001979486116624707,-0.0024664434894256615,0.0010927692532270007,7
20.389453506469728,0.9798080568581008,1.5169582843780518,0.5339349010270049,100,10,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-0.0013376434523973003,-0.003395252677111117,-0.0015146425071180683,-0.003991357923856288,-0.0021644982833783364,-0.002480678968772222,0.00104482752988946,8
18.54415817260742,0.45884210883770277,1.0843047142028808,0.2741981411771011,100,5,4,log2,20,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-0.0013276318786274686,-0.0033379717007389026,-0.00163735232841329,-0.003828003290571908,-0.002418493029608395,-0.002509890445591993,0.0009581807355573344,9
31.869514608383177,0.6358982017593583,1.819555139541626,0.25713610048842217,200,10,4,log2,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20}",-0.0015901662590956712,-0.003678175215400847,-0.0014755182029490119,-0.00430099267209601,-0.002302434021117604,-0.0026694572741318284,0.0011317672295075483,10
